gene_stable_id,name,chr,start,stop,biotype,FDR,log2FC,p,GFP1,GFP2,GFP3,WT1,WT2,WT3,effect,-log(p)
ENSG00000115163,CENPA,2,26764288,26801067,protein_coding,1.23703e-18,-2.85716,3.2067499999999996e-20,20.8468,22.4815,21.5661,2.1456,3.3883,1.65833,down,44.88644389668309
ENSG00000123485,HJURP,2,233833415,233854566,protein_coding,2.17984e-49,-2.4319,1.52686e-51,29.6296,32.0916,30.1263,4.90631,4.50941,4.17329,down,117.00862640370161
ENSG00000166851,PLK1,16,23677655,23690367,protein_coding,7.3221700000000005e-40,-2.29907,7.28574e-42,36.612,35.6914,37.86,7.11704,5.36795,5.36391,down,94.72265489267537
ENSG00000066279,ASPM,1,197084126,197146694,protein_coding,6.73401e-43,-2.1408,5.7307e-45,11.6177,12.8217,12.7151,2.00726,1.77703,2.91476,down,101.87049149741796
ENSG00000251350,LINC02475,4,44016860,44022063,lincRNA,2.01622e-08,-2.10548,1.40037e-09,6.3883,5.2984,7.2653,1.4076,1.20405,0.906607,down,20.38652934952823
ENSG00000178999,AURKB,17,8204732,8210600,protein_coding,4.78379e-38,-2.10253,5.13578e-40,61.5135,57.4803,63.887,11.4884,11.2056,11.3169,down,90.46717198918257
ENSG00000140451,PIF1,15,64815631,64825668,protein_coding,3.03458e-09,-2.0527,1.85341e-10,7.49546,7.93716,7.06772,1.74058,0.964456,1.6049,down,22.408823744295187
ENSG00000134222,PSRC1,1,109279555,109283186,protein_coding,1.92929e-18,-1.99814,5.06445e-20,19.4848,20.6119,20.3299,3.19425,4.68401,4.23228,down,44.42945631642784
ENSG00000117399,CDC20,1,43358980,43363203,protein_coding,2.24211e-12,-1.95825,1.00393e-13,20.0046,13.9719,18.2606,3.85684,3.33537,3.54874,down,29.929683911199223
ENSG00000112742,TTK,6,80003886,80042527,protein_coding,1.4801799999999999e-43,-1.95106,1.2208899999999999e-45,27.4563,27.6528,29.6375,5.94527,5.80744,5.7478,down,103.41674908375194
ENSG00000138180,CEP55,10,93496631,93529092,protein_coding,2.862710000000001e-18,-1.94744,7.589669999999999e-20,14.7813,17.2379,17.3424,3.45796,2.89375,3.83766,down,44.02491374767945
ENSG00000186185,KIF18B,17,44924708,44947711,protein_coding,6.364590000000001e-26,-1.91563,1.13326e-27,14.4588,16.5226,15.4873,3.57757,3.28045,2.97322,down,62.0446990758611
ENSG00000087586,AURKA,20,56369388,56392337,protein_coding,1.57993e-48,-1.91195,1.16871e-50,45.3699,48.5746,49.5863,11.3659,10.5371,8.56614,down,114.97335407326614
ENSG00000111665,CDCA3,12,6844792,6852066,protein_coding,6.928850000000002e-18,-1.90253,1.90049e-19,10.0624,10.7646,10.5644,2.0958,2.14516,2.45976,down,43.10700501922676
ENSG00000117650,NEK2,1,211658656,211675630,protein_coding,4.47308e-17,-1.89607,1.29425e-18,13.5173,15.1513,16.4267,3.28258,3.36493,3.02671,down,41.18860029709295
ENSG00000184661,CDCA2,8,25459198,25507911,protein_coding,7.1664e-10,-1.84323,4.10018e-11,9.30566,6.04497,8.08929,2.20574,1.66907,1.34964,down,23.9174051477489
ENSG00000146410,MTFR2,6,136231023,136250335,protein_coding,1.07034e-11,-1.84138,5.14292e-13,17.7152,14.3516,14.3532,3.9876,3.14859,3.21043,down,28.295985197374264
ENSG00000169679,BUB1,2,110637697,110678114,protein_coding,1.03015e-19,-1.83837,2.50187e-21,11.9421,13.8077,13.2797,2.7225,2.73884,3.24205,down,47.43724850061338
ENSG00000080986,NDC80,18,2571556,2616635,protein_coding,1.05725e-38,-1.82538,1.12812e-40,31.8721,34.0893,31.632,7.55251,7.25645,7.17858,down,91.9828511893655
ENSG00000129810,SGO1,3,20160592,20186206,protein_coding,3.889e-19,-1.82454,9.90324e-21,13.0187,13.8036,13.7591,3.0818,3.24449,2.83068,down,46.061424976549176
ENSG00000145386,CCNA2,4,121816443,121823933,protein_coding,6.32505e-43,-1.82063,5.30666e-45,44.0283,48.8619,43.8848,9.85245,10.6529,10.4277,down,101.94736654926612
ENSG00000136997,MYC,8,127735433,127742950,protein_coding,7.65553e-19,-1.81137,1.9645e-20,11.5279,12.8256,10.8936,2.11341,3.19485,2.73638,down,45.376464099864535
ENSG00000164761,TNFRSF11B,8,118923556,118951885,protein_coding,0.00184734,-1.80206,0.000345863,3.28609,4.40075,2.9741,0.713999,1.12754,0.613165,down,7.969467815074163
ENSG00000118193,KIF14,1,200551496,200620751,protein_coding,1.86383e-46,-1.78621,1.41532e-48,18.7698,19.1753,19.4613,4.18802,4.73173,4.38606,down,110.17672880977679
ENSG00000134057,CCNB1,5,69167134,69178245,protein_coding,8.2739e-44,-1.77479,6.71618e-46,71.6353,73.2397,65.5937,16.8149,18.5941,13.8377,down,104.01439473720231
ENSG00000142945,KIF2C,1,44739817,44767767,protein_coding,1.41996e-52,-1.77202,9.29539e-55,51.4541,58.9677,52.9722,13.8965,13.3001,11.0277,down,124.41266153633737
ENSG00000128011,LRFN1,19,39306567,39315336,protein_coding,2.81356e-05,-1.76347,3.42577e-06,4.50758,3.18214,3.83131,0.80801,1.08267,0.832679,down,12.584184293999508
ENSG00000171241,SHCBP1,16,46578590,46621379,protein_coding,1.09629e-22,-1.75512,2.2606200000000003e-24,13.9341,14.8515,12.4586,2.63848,3.88888,3.26284,down,54.446403119913036
ENSG00000135476,ESPL1,12,53268298,53293643,protein_coding,1.55767e-10,-1.75188,8.39199e-12,4.54394,4.10262,4.74662,1.3814,0.943346,0.846448,down,25.50374343644632
ENSG00000186193,SAPCD2,9,137062126,137070557,protein_coding,1.77594e-06,-1.71708,1.70549e-07,4.32883,4.26571,5.16527,0.846509,1.57674,0.939458,down,15.584243191482118
ENSG00000157456,CCNB2,15,59105125,59125045,protein_coding,1.92966e-22,-1.70766,4.0296e-24,25.816,24.5729,29.4831,6.23954,6.66848,6.62489,down,53.86837511640779
ENSG00000156970,BUB1B,15,40161022,40221136,protein_coding,4.02114e-33,-1.7005,5.18567e-35,31.017,30.5112,26.9366,7.12028,7.07972,7.54149,down,78.94457920255748
ENSG00000183763,TRAIP,3,49828600,49856574,protein_coding,0.000462906,-1.69174,7.40904e-05,4.76042,5.38638,3.61269,1.10822,1.63342,0.685235,down,9.510224588711033
ENSG00000137807,KIF23,15,69414245,69448427,protein_coding,2.90976e-23,-1.69119,5.75248e-25,18.2153,19.1667,18.9947,4.74938,5.27789,3.94269,down,55.814996258679045
ENSG00000142731,PLK4,4,127880892,127899224,protein_coding,1.82142e-07,-1.68437,1.47015e-08,5.10942,6.66418,5.02142,0.936709,1.90658,1.35143,down,18.035316307551206
ENSG00000123975,CKS2,9,89311194,89316703,protein_coding,5.92095e-20,-1.6588,1.41473e-21,105.147,102.664,100.324,22.5775,26.3162,29.0835,down,48.00734825270767
ENSG00000146670,CDCA5,11,65066299,65084164,protein_coding,6.14129e-13,-1.64966,2.585e-14,13.3764,11.5803,10.6391,3.28799,3.07695,2.7107,down,31.286465793956246
ENSG00000126787,DLGAP5,14,55148111,55191608,protein_coding,1.81622e-19,-1.64911,4.51797e-21,19.2574,22.1613,19.2516,4.8463,4.85122,5.73111,down,46.846224174957435
ENSG00000121152,NCAPH,2,96335765,96377091,protein_coding,1.49275e-16,-1.64456,4.55369e-18,9.65742,11.7721,9.01562,1.89643,2.74525,3.13506,down,39.93059378059287
ENSG00000186871,ERCC6L,X,72204656,72239027,protein_coding,1.65039e-06,-1.64446,1.57735e-07,4.56081,4.40975,3.8517,1.25777,1.32417,0.707003,down,15.662349427209392
ENSG00000089685,BIRC5,17,78214185,78225636,protein_coding,3.28157e-49,-1.62965,2.32004e-51,60.5906,57.7368,60.3941,15.5123,17.4802,13.2546,down,116.59025531578743
ENSG00000198826,ARHGAP11A,15,32615143,32639941,protein_coding,5.37869e-29,-1.62769,8.38e-31,15.4384,15.5297,14.8056,3.69431,4.30755,3.84803,down,69.25428996832143
ENSG00000138778,CENPE,4,103105805,103198409,protein_coding,3.98159e-40,-1.62694,3.90965e-42,17.0121,15.8695,16.5711,4.03591,4.58283,4.18884,down,95.34512604982577
