gene_stable_id,name,chr,start,stop,biotype,FDR,log2FC,p,GFP1 TPM,GFP2 TPM,GFP3 TPM,WT1 TPM,WT2 TPM,WT3 TPM
ENSG00000223972,DDX11L1,1,11868,14409,transcribed_unprocessed_pseudogene,0.984883,0.0122933,0.968959,5.70956,6.20105,5.59956,5.86886,3.76749,4.42539
ENSG00000227232,WASH7P,1,14403,29570,unprocessed_pseudogene,0.0966288,0.464161,0.0337208,19.1771,14.7618,16.9791,21.508,22.4499,12.5031
ENSG00000279457,WASH9P,1,185216,195411,unprocessed_pseudogene,0.750337,0.456429,0.578667,0.36364,0.563515,1.93177,1.06665,0.935805,1.09922
ENSG00000228463,AP006222.1,1,257863,359681,transcribed_processed_pseudogene,0.14062,0.639486,0.0537673,0.741252,0.89342,0.885995,0.996552,1.14454,0.995857
ENSG00000236679,RPL23AP24,1,347981,348366,processed_pseudogene,,0.26023,0.907437,0.0,0.681585,0.700955,0.645072,0.679127,0.0
ENSG00000225972,MTND1P23,1,629061,629433,unprocessed_pseudogene,0.00207592,0.192052,0.000394501,4455.28,4704.34,4658.84,4046.41,4295.18,4259.39
tRNA-Gln-CAA__0,tRNA-Gln-CAA__0,1,629498,629499,tRNA,0.416918,0.369506,0.228415,9398.08,8659.54,8905.63,8195.64,9935.63,9725.54
ENSG00000225630,MTND2P28,1,629639,630683,unprocessed_pseudogene,0.00798627,0.202742,0.00178274,884.872,978.257,899.042,787.402,875.554,874.2
ENSG00000237973,MTCO1P12,1,631073,632616,unprocessed_pseudogene,8.12464e-07,0.310728,7.31835e-08,596.732,577.54,559.674,588.45,578.339,551.679
ENSG00000278791,AC114498.2,1,632324,632413,miRNA,0.739257,0.547382,0.560492,5.70792,11.7937,12.1289,8.37144,14.689,11.5027
tRNA-Ser-TCA(m)_0,tRNA-Ser-TCA(m)_0,1,632618,632619,tRNA,0.868501,0.280993,0.745295,1016.01,787.231,1619.21,993.411,1307.32,1023.74
ENSG00000229344,MTCO2P12,1,632756,633438,unprocessed_pseudogene,1.24436e-05,0.260454,1.40597e-06,1702.78,1793.78,1734.75,1601.91,1737.47,1665.45
ENSG00000240409,MTATP8P1,1,633534,633741,unprocessed_pseudogene,0.227165,0.492219,0.0987907,36.8119,51.975,53.452,49.1906,47.9982,61.8201
ENSG00000248527,MTATP6P1,1,633695,634376,unprocessed_pseudogene,0.0190746,0.142142,0.00489726,2102.51,2213.34,2159.34,1851.16,1990.74,1866.71
ENSG00000198744,MTCO3P12,1,634375,634922,unprocessed_pseudogene,0.563793,0.0702096,0.35985,631.987,671.137,580.684,498.068,582.199,502.045
ENSG00000223181,RNU6-1199P,1,758232,758336,snRNA,,1.24794,0.759733,0.0,0.0,0.0,0.0,0.0,2.46091
ENSG00000237491,AL669831.5,1,778769,810060,lincRNA,0.504666,0.413319,0.3016,0.966488,0.903387,1.07575,1.39499,0.947505,0.788349
ENSG00000285268,AL669831.7,1,781936,782050,transcribed_processed_pseudogene,,,,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000230092,AL669831.4,1,800878,817712,transcribed_unprocessed_pseudogene,0.570235,0.752027,0.366591,1.74772,2.1065,0.309481,1.13923,1.19938,3.22854
ENSG00000228794,LINC01128,1,825137,859446,processed_transcript,0.981235,0.00878464,0.961171,2.92357,3.62996,3.47665,2.75365,2.78858,2.51341
ENSG00000225880,LINC00115,1,826205,827522,lincRNA,0.477829,-0.642572,0.278511,2.12151,2.39098,3.89331,0.942873,1.19118,2.13765
ENSG00000230368,FAM41C,1,868070,876903,lincRNA,0.887351,0.286883,0.778034,0.773218,0.399407,0.136919,0.504014,0.530622,0.259701
ENSG00000230699,AL645608.2,1,911434,914948,lincRNA,0.682303,-0.337185,0.487759,1.91983,1.55221,1.1529,1.1426,0.859231,0.925168
ENSG00000241180,AL645608.4,1,914170,914971,lincRNA,0.771064,-0.255226,0.603471,12.6141,9.47757,7.91937,7.84862,5.90212,6.35505
ENSG00000187634,SAMD11,1,923927,944581,protein_coding,0.0593797,-0.430496,0.0187087,13.903,13.6591,13.9025,9.39569,10.1723,5.15029
ENSG00000188976,NOC2L,1,944202,959309,protein_coding,0.0410186,-0.398028,0.0120859,16.2149,20.5588,17.6192,11.17,11.0959,10.6756
ENSG00000187961,KLHL17,1,960583,965719,protein_coding,0.685873,0.169482,0.493303,5.90287,5.26668,6.36659,5.68413,6.35247,3.78496
ENSG00000187583,PLEKHN1,1,966496,975865,protein_coding,0.858108,-0.227453,0.729844,0.748717,1.35363,0.795483,1.00659,0.289017,0.660113
ENSG00000187642,PERM1,1,975203,982093,protein_coding,4.84045e-05,5.86981,6.17256e-06,0.0,0.0770209,0.0,1.96816,1.22789,0.676083
ENSG00000188290,HES4,1,998961,1000172,protein_coding,0.000741283,1.39269,0.000125682,4.88466,4.79403,4.15181,11.2236,11.8162,6.15229
ENSG00000187608,ISG15,1,1001137,1014540,protein_coding,4.35566e-08,2.17914,3.20772e-09,140.632,145.288,131.923,598.316,665.191,264.367
ENSG00000231702,AL645608.3,1,1008075,1008229,processed_pseudogene,,-1.55654,0.629924,1.64937,1.70396,0.0,0.0,0.0,0.0
ENSG00000188157,AGRN,1,1020119,1056118,protein_coding,2.41403e-77,1.91522,7.90139e-80,9.4675,9.25574,9.68756,31.281,30.3488,24.137
ENSG00000242590,AL645608.5,1,1055032,1056116,sense_intronic,2.3143900000000003e-76,1.91659,7.72676e-79,188.29,182.12,190.653,619.029,600.977,475.581
